Swatchos No.,C,M,Y,K,RGB Hex
001.0,75,0,0,0,#00B6ED
001.1,75,0,0,75,#00475C
001.6,19,0,0,0,#D7EEFD
001.5,38,0,0,0,#A9DCF9
001.4,56,0,0,0,#6DCAF3
001.3,75,0,0,25,#0095C0
001.2,75,0,0,50,#007090
002.0,100,0,0,0,#009FE4
002.1,100,0,0,75,#003D58
002.6,25,0,0,0,#C9E8FB
002.5,50,0,0,0,#84D0F5
002.4,75,0,0,0,#00B6ED
002.3,100,0,0,25,#0082B9
002.2,100,0,0,50,#00628A
003.0,50,25,25,0,#8FABB6
003.1,50,25,25,75,#364347
003.6,13,6,6,0,#E5E9ED
003.5,25,13,13,0,#C9D3DA
003.4,38,19,19,0,#ACBEC8
003.3,50,25,25,25,#758C96
003.2,50,25,25,50,#586A71
004.0,50,0,0,0,#83D0F5
004.1,50,0,0,75,#31525F
004.6,13,0,0,0,#E5F4FE
004.5,25,0,0,0,#C9E8FB
004.4,38,0,0,0,#A8DCF8
004.3,50,0,0,25,#6CAAC7
004.2,50,0,0,50,#518096
005.0,100,50,25,0,#006997
005.1,100,50,25,75,#00273B
005.6,25,13,6,0,#C9D4E5
005.5,50,25,13,0,#8EACCA
005.4,75,38,19,0,#4487B0
005.3,100,50,25,25,#00557C
005.2,100,50,25,50,#00405E
006.0,100,75,50,0,#154A68
006.1,100,75,50,75,#041A27
006.6,25,19,13,0,#C9CAD4
006.5,50,38,25,0,#9298AB
006.4,75,56,38,0,#576C86
006.3,100,75,50,25,#113D55
006.2,100,75,50,50,#0C2E40
007.0,75,25,0,0,#2599D6
007.1,75,25,0,75,#083B54
007.6,19,6,0,0,#D6E4F6
007.5,38,13,0,0,#AACBEC
007.4,56,19,0,0,#76B1E1
007.3,75,25,0,25,#237EAE
007.2,75,25,0,50,#195F83
008.0,25,0,0,0,#C9E9FB
008.1,25,0,0,75,#4E5B62
008.6,6,0,0,0,#F2FAFF
008.5,13,0,0,0,#E5F4FE
008.4,19,0,0,0,#D7EEFD
008.3,25,0,0,25,#A4BECD
008.2,25,0,0,50,#7C8F9A
009.0,100,25,0,0,#0086CD
009.1,100,25,0,75,#003350
009.6,25,6,0,0,#C8DFF5
009.5,50,13,0,0,#88BFE9
009.4,75,19,0,0,#12A1DC
009.3,100,25,0,25,#006EA7
009.2,100,25,0,50,#00537E
010.0,100,50,0,0,#0169B4
010.1,100,50,0,75,#002647
010.6,25,13,0,0,#C8D5EF
010.5,50,25,0,0,#8CADDC
010.4,75,38,0,0,#3E88C8
010.3,100,50,0,25,#005693
010.2,100,50,0,50,#00406F
011.0,75,50,25,0,#50759C
011.1,75,50,25,75,#1D2D3D
011.6,19,13,6,0,#D6D9E6
011.5,38,25,13,0,#ADB6CC
011.4,56,38,19,0,#8194B3
011.3,75,50,25,25,#436080
011.2,75,50,25,50,#334961
012.0,100,75,0,0,#01499A
012.1,100,75,0,75,#03173D
012.6,25,19,0,0,#C8CBE8
012.5,50,38,0,0,#8F9BCE
012.4,75,56,0,0,#526DB3
012.3,100,75,0,25,#023B7E
012.2,100,75,0,50,#042B60
013.0,50,25,0,0,#8BADDC
013.1,50,25,0,75,#354456
013.6,13,6,0,0,#E4EAF7
013.5,25,13,0,0,#C8D5EF
013.4,38,19,0,0,#AAC1E5
013.3,50,25,0,25,#728FB3
013.2,50,25,0,50,#566C87
014.0,75,50,0,0,#4C76BA
014.1,75,50,0,75,#1C2C49
014.6,19,13,0,0,#D5DAF0
014.5,38,25,0,0,#ABB7DF
014.4,56,38,0,0,#7E95CC
014.3,75,50,0,25,#406198
014.2,75,50,0,50,#304973
015.0,100,100,0,0,#302783
015.1,100,100,0,75,#160333
015.6,25,25,0,0,#C7C1E1
015.5,50,50,0,0,#9285BE
015.4,75,75,0,0,#5E4F9C
015.3,100,100,0,25,#291F6C
015.2,100,100,0,50,#201452
016.0,100,100,75,0,#313044
016.1,100,100,75,75,#121015
016.6,25,25,19,0,#C9BEC4
016.5,50,50,38,0,#94838E
016.4,75,75,56,0,#615062
016.3,100,100,75,25,#292837
016.2,100,100,75,50,#1F1E28
017.0,75,75,0,0,#5E4F9C
017.1,75,75,0,75,#261A3D
017.6,19,19,0,0,#D5D0E9
017.5,38,38,0,0,#ACA3D0
017.4,56,56,0,0,#8477B5
017.3,75,75,0,25,#4E4180
017.2,75,75,0,50,#3C3061
018.0,25,25,0,0,#C7C1E1
018.1,25,25,0,75,#4E4C58
018.6,6,6,0,0,#F1EFF8
018.5,13,13,0,0,#E3E0F1
018.4,19,19,0,0,#D5D0E9
018.3,25,25,0,25,#A39FB8
018.2,25,25,0,50,#7B788B
019.0,50,50,0,0,#9185BE
019.1,50,50,0,75,#39334B
019.6,13,13,0,0,#E3E0F1
019.5,25,25,0,0,#C7C1E1
019.4,38,38,0,0,#ABA2D0
019.3,50,50,0,25,#776E9B
019.2,50,50,0,50,#5B5376
020.0,75,75,25,0,#5F5084
020.1,75,75,25,75,#261C33
020.6,19,19,6,0,#D5CFDF
020.5,38,38,13,0,#ADA2BF
020.4,56,56,19,0,#8676A0
020.3,75,75,25,25,#4F426C
020.2,75,75,25,50,#3C3152
021.0,75,75,50,0,#605069
021.1,75,75,50,75,#261D27
021.6,19,19,13,0,#D6CED5
021.5,38,38,25,0,#AEA1AD
021.4,56,56,38,0,#877587
021.3,75,75,50,25,#504256
021.2,75,75,50,50,#3C3240
022.0,50,50,25,0,#93839F
022.1,50,50,25,75,#3A333E
022.6,13,13,6,0,#E3DFE7
022.5,25,25,13,0,#C8BFCE
022.4,38,38,19,0,#ADA0B6
022.3,50,50,25,25,#796C82
022.2,50,50,25,50,#5C5262
023.0,75,100,0,0,#662483
023.1,75,100,0,75,#2B0132
023.6,19,25,0,0,#D4C5E2
023.5,38,50,0,0,#AD8DC0
023.4,56,75,0,0,#88559E
023.3,75,100,0,25,#541B6B
023.2,75,100,0,50,#411051
024.0,50,75,0,0,#95569E
024.1,50,75,0,75,#3C1E3D
024.6,13,19,0,0,#E2D5EA
024.5,25,38,0,0,#C7ABD3
024.4,38,56,0,0,#AC80B8
024.3,50,75,0,25,#7A4781
024.2,50,75,0,50,#5D3562
025.0,25,50,0,0,#C693C2
025.1,25,50,0,75,#4F394C
025.6,6,13,0,0,#F0E5F2
025.5,13,25,0,0,#E1CAE3
025.4,19,38,0,0,#D3AFD3
025.3,25,50,0,25,#A1799E
025.2,25,50,0,50,#7A5C78
026.0,50,100,0,0,#951B81
026.1,50,100,0,75,#3E0031
026.6,13,25,0,0,#E1CAE3
026.5,25,50,0,0,#C593C2
026.4,38,75,0,0,#AC599E
026.3,50,100,0,25,#7A146A
026.2,50,100,0,50,#5D0B4F
027.0,75,100,50,0,#652B59
027.1,75,100,50,75,#290A1F
027.6,19,25,13,0,#D5C4CF
027.5,38,50,25,0,#AE8AA0
027.4,56,75,38,0,#895577
027.3,75,100,50,25,#542248
027.2,75,100,50,50,#401835
028.0,25,75,0,0,#C35C9F
028.1,25,75,0,75,#4F213D
028.6,6,19,0,0,#EEDAEC
028.5,13,38,0,0,#DFB3D4
028.4,19,56,0,0,#D089BA
028.3,25,75,0,25,#9F4C82
028.2,25,75,0,50,#793962
029.0,50,100,25,0,#95216D
029.1,50,100,25,75,#3D0327
029.6,13,25,6,0,#E1C9DA
029.5,25,50,13,0,#C692B2
029.4,38,75,19,0,#AC598B
029.3,50,100,25,25,#7A1959
029.2,50,100,25,50,#5D1042
030.0,25,100,0,0,#BF087F
030.1,25,100,0,75,#4F002F
030.6,6,25,0,0,#EDCEE4
030.5,13,50,0,0,#DC99C3
030.4,19,75,0,0,#CD5D9F
030.3,25,100,0,25,#9C0668
030.2,25,100,0,50,#77034E
031.0,0,100,0,0,#E5017E
031.1,0,100,0,75,#5D002E
031.6,0,25,0,0,#F9D2E5
031.5,0,50,0,0,#F29FC5
031.4,0,75,0,0,#EB619F
031.3,0,100,0,25,#BA0066
031.2,0,100,0,50,#8D004C
032.0,0,100,25,0,#E50169
032.1,0,100,25,75,#5C0024
032.6,0,25,6,0,#F9D2DC
032.5,0,50,13,0,#F29EB4
032.4,0,75,19,0,#EB608C
032.3,0,100,25,25,#B90155
032.2,0,100,25,50,#8C013F
033.0,75,100,75,0,#652D42
